PRM_RoC,sig8MHz_ref_1,sig8MHz_ref_2,sig6MHz_circ_1,sig6MHz_circ_2,sig56MHz_circ_1,sig56MHz_circ_2,sig56MHz_DP_1,sig56MHz_DP_2
1425,3.49065254080495e-06,2.95158637265253e-05,0.0287183661480307,0.635659964107446,-0.100663592959199,0.473995939193525,3.39033086580814e-05,7.69228013593148e-06
1426,1.52234662417357e-05,0.000284197733954036,0.0264198136510453,0.587444857312251,-0.0832152933556166,0.433409027956845,2.6844833721208e-05,4.72657639431746e-06
1427,2.33165318669753e-05,0.000469094885153595,0.0216021102986282,0.514375907091528,-0.0646055538952468,0.38259648320952,2.43847889433599e-05,1.66918870710175e-06
1428,2.18623043975623e-05,0.000437629909234127,0.0132057911572223,0.439920005615295,-0.0379757150694687,0.318679153215616,2.69672433334094e-05,-4.57921630234298e-07
1429,-2.89031441469825e-06,-0.000103314406826656,0.0219056697765916,0.391968758057698,-0.00185711251860159,0.239978229673335,1.55985332623304e-05,-2.11103701228857e-06
1430,-2.96233454165123e-05,-0.000690008679319584,0.0346393861135822,0.341487589574101,0.0327450912165707,0.150508574168679,-2.53515931684132e-06,-2.88032776623768e-06
1431,-5.14605396530394e-05,-0.00114906368082914,0.0409709878147159,0.255933888111785,0.0563487465335713,0.0521565422558204,-1.32401494040964e-05,-3.40166268240002e-06
1432,-7.45196457066497e-05,-0.00164251091760545,0.0447401128331307,0.142948151860539,0.0678586986777534,-0.0480015116722325,-1.98533884519593e-05,-4.46850072503407e-06
1433,-9.89866001403035e-05,-0.00217570775099338,0.0438615919048306,0.0202134379087962,0.0770813333478336,-0.14395489660194,-2.50958411417713e-05,-5.11804263911834e-06
1434,-0.000135727954018002,-0.00299088845302681,0.0410649501115269,-0.0924129469731347,0.0860949581840262,-0.228832462946941,-3.02722375780054e-05,-3.95625224992683e-06
1435,-0.000157771732702047,-0.00351614831615368,0.0387112901211837,-0.228198108290598,0.0822172711588602,-0.30823035980709,-3.58205564295541e-05,-1.6132984216934e-06
