PRM_RoC,sig8MHz_ref_1,sig8MHz_ref_2,sig6MHz_circ_1,sig6MHz_circ_2,sig56MHz_circ_1,sig56MHz_circ_2,sig56MHz_DP_1,sig56MHz_DP_2
1425,5.56703324301464e-06,0.000130555960886412,-0.0877021705216428,0.530964610571117,-0.0166771235678593,0.571797448952905,6.52422863595354e-05,1.40149368221917e-05
1426,5.51287908651795e-06,0.000124481986733442,-0.0552822093176081,0.494799303190235,-0.00960004330125705,0.471557970588611,6.16721042902163e-05,1.25775306319787e-05
1427,4.37972512609125e-06,7.87076293622358e-05,-0.0239324811056206,0.413795612566939,0.000510513936427286,0.358140720976356,5.66281379984199e-05,1.00451491742757e-05
1428,3.22645843736488e-06,3.72470067643201e-05,-0.00225158626310533,0.334620516832226,0.00733208643752598,0.240284373574752,5.17084093108869e-05,7.05330518193426e-06
1429,2.07630828704979e-06,9.16150828546584e-06,0.000640483829478665,0.185389978166194,0.00479912379952234,0.134114298666882,4.42265538279524e-05,3.85724318756449e-06
1430,8.27836625005208e-07,1.35582883603453e-06,-0.000256812457003606,0.0596629750445238,-0.000229203376096974,0.0504413272656494,3.21003356537178e-05,1.09799445496257e-06
1431,1.13215810170076e-07,3.94982187745691e-06,-3.62726087373592e-05,0.00293560489240443,-0.00080866834820652,0.0113937729765904,1.24481567204471e-05,1.49687168506606e-07
1432,1.86781153275961e-07,7.23313955316399e-06,-1.31290787242458e-06,-0.00168937733466041,-5.58663842228926e-06,-0.00113928428686448,-1.09970164477666e-05,-5.83523062154975e-07
1433,-1.7852458341734e-06,-1.71661421826165e-05,-1.77670504693657e-05,-0.0532446617854789,0.00120738805829042,-0.0426431205479718,-2.90832001746522e-05,-3.61918316197183e-07
1434,-4.49102990276094e-06,-5.5339500994732e-05,-6.02604311936837e-06,-0.192076515578548,-0.00256109471359809,-0.13611969276347,-3.8114519343008e-05,6.56757941837779e-07
1435,-5.65537465094807e-06,-9.47417956589488e-05,-0.00601864247645345,-0.392357753057721,-0.0190673777265221,-0.263796791511109,-4.10831064363242e-05,1.48160504058696e-06
