PRM_RoC,sig6_p, sig6_q, sig56_p, sig56_q
1390,-0.039795474200932,0.420226740502247,0.128435159672116,0.455445918963924
1395,-0.0620624184727476,0.387220456818729,0.149013072268029,0.501719929168354
1400,-0.0671805031158887,0.450030761202601,0.150107704709077,0.60154350097796
1405,-0.0775712285169023,0.587256946823158,0.154330786473999,0.729602400942908
1410,-0.101214106322979,0.671870373859098,0.168069285676602,0.822780465781871
1415,-0.137532942646647,0.628039037944015,0.159125976553596,0.872991404543081
1420,-0.164939903117209,0.558602526663758,0.0573676812950036,0.849883626455762
1425,-0.0879680719455516,0.532574432045085,-0.0167784028275327,0.575269944842952
1430,-0.000257591440751214,0.05984386523212,-0.000230595168205161,0.0507476547764755
1435,-0.00603688976033392,-0.393547331439807,-0.019183173055423,-0.265398815542994
1440,-0.0100961624877938,-1.16766252453282,-0.178607937605955,-0.78554642846189
1445,0.0246924007905765,-1.21713647404285,-0.272459226459961,-0.912758216009588
1450,0.0440084611352742,-1.0566980905891,-0.291870748048143,-0.848749767676256
1455,0.047234358938079,-0.88020588785931,-0.267827252237961,-0.735907875286881
1460,0.0425083286133758,-0.718361468165243,-0.232570884136299,-0.616434447793668
1465,0.0370855214221584,-0.583904910736299,-0.195053302185007,-0.502183074786697
1470,0.030252425225185,-0.471761960679008,-0.161640569416147,-0.411001535364222
