PRM_tilt,sig6_pv, sig6_qv, sig6_ph, sig6_qh, sig56_pv, sig56_qv, sig56_ph, sig56_qh
-1e-07,2.60208521396521e-16,-2.88657986402541e-15,0.0102607609128296,2.21855532048047,-3.95516952522712e-16,-2.38697950294409e-15,0.119448631184237,1.72833726377156
-8.75e-08,6.07153216591882e-17,-2.77555756156289e-15,0.016029283692483,2.19759435480649,-1.21430643318376e-16,-2.33146835171283e-15,0.0957818984109147,1.68605190925401
-7.5e-08,2.32452945780892e-16,-3.10862446895044e-15,0.0203506864051822,2.13315485744705,-2.42861286636753e-17,-2.66453525910038e-15,0.0667726845446655,1.61441240349659
-6.25e-08,2.91433543964104e-16,-3.38618022510673e-15,0.0218506410183606,2.01139863950659,-6.93889390390723e-18,-2.4980018054066e-15,0.0344404369335772,1.50216902796054
-5e-08,-6.85215773010839e-17,-3.38618022510673e-15,0.0180816048256741,1.8098360079028,9.71445146547012e-17,-2.77555756156289e-15,0.00543023099780033,1.33344023086987
-3.75e-08,5.98479599211998e-17,-3.44169137633799e-15,0.0115089253239728,1.49105125130904,-3.29597460435593e-17,-3.13638004456607e-15,-0.0164569925802008,1.09394169556442
-2.5e-08,9.77950359581925e-17,-3.3584246494911e-15,0.000753059246335802,1.05822553101677,1.13624387676481e-16,-3.13638004456607e-15,-0.025631742912873,0.778343874420379
-1.25e-08,-2.40692882291782e-17,-3.69149155687865e-15,-0.00485747051922801,0.547246028704813,2.02962646689286e-16,-2.98372437868011e-15,-0.0183847359792848,0.404799267935642
0,-1.55772747131855e-16,-4.79130624064794e-15,-2.72460005945607e-16,5.09661757241986e-15,-7.23895363140617e-14,1.11334552688191e-14,5.63537525021321e-14,1.16746889933239e-14
1.25e-08,1.44198888940572e-16,-3.66373598126302e-15,0.00485747051925372,-0.547246028703115,-1.60461921527855e-17,-3.09474668114262e-15,0.018384735979287,-0.404799267936139
2.5e-08,-5.55111512312578e-17,-3.60822483003176e-15,-0.000753059246373538,-1.05822553101617,-2.86229373536173e-17,-2.91433543964104e-15,0.0256317429126709,-0.778343874420098
3.75e-08,3.27429056090622e-16,-3.1641356201817e-15,-0.0115089253240776,-1.4910512513089,1.04083408558608e-16,-2.83106871279415e-15,0.0164569925803528,-1.09394169556423
5e-08,-2.41126563160776e-16,-3.44169137633799e-15,-0.0180816048256489,-1.80983600790279,-2.77555756156289e-17,-2.77555756156289e-15,-0.00543023099777405,-1.33344023087008
6.25e-08,1.82145964977565e-17,-3.05311331771918e-15,-0.0218506410179383,-2.0113986395043,-1.04083408558608e-16,-2.77555756156289e-15,-0.0344404369331052,-1.50216902796041
7.5e-08,1.04950770296597e-16,-3.10862446895044e-15,-0.0203506864048573,-2.13315485744542,-3.81639164714898e-17,-2.33146835171283e-15,-0.066772684543712,-1.61441240349596
8.75e-08,-9.54097911787244e-17,-3.10862446895044e-15,-0.0160292836921171,-2.19759435480563,-7.28583859910259e-17,-2.4980018054066e-15,-0.0957818984102226,-1.68605190925539
1e-07,1.70002900645727e-16,-2.55351295663786e-15,-0.0102607609128768,-2.21855532048003,-1.87350135405495e-16,-2.44249065417534e-15,-0.119448631184364,-1.72833726377224
